id,original_title,genres,cast,production_companies,year,revenue
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'StephenLang', 'MichelleRodriguez', 'GiovanniRibisi', 'JoelDavidMoore', 'CCHPounder', 'WesStudi', 'LazAlonso', 'DileepRao', 'MattGerald', 'SeanAnthonyMoran', 'JasonWhyte', 'ScottLawrence', 'KellyKilgour', 'JamesPatrickPitt', 'SeanPatrickMurphy', 'PeterDillon', 'KevinDorman', 'KelsonHenderson', 'DavidVanHorn', 'JacobTomuri', 'MichaelBlain-Rozgay', 'JonCurry', 'LukeHawker', 'WoodySchultz', 'PeterMensah', 'SoniaYee', 'JahnelCurfman', 'IlramChoi', 'KylaWarren', 'LisaRoumain', 'DebraWilson', 'ChrisMala', 'TaylorKibby', 'JodieLandau', 'JulieLamm', 'CullenB.Madden', 'JosephBradyMadden', 'FrankieTorres', 'AustinWilson', 'SaraWilson', 'TamicaWashington-Miller', 'LucyBriant', 'NathanMeister', 'GerryBlair', 'MatthewChamberlain', 'PaulYates', 'WrayWilson', 'JamesGaylyn', 'MelvinLenoClarkIII', 'CarvonFutrell', 'BrandonJelkes', 'MicahMoch', 'HanniyahMuhammad', 'ChristopherNolen', 'ChristaOliver', 'AprilMarieThomas', 'BravitaA.Threatt', 'ColinBleasdale', 'MikeBodnar', 'MattClayton', 'NicoleDionne', 'JamieHarrison', 'AllanHenry', 'AnthonyIngruber', 'AshleyJeffery', 'DeanKnowsley', 'JosephMika-Hunt', 'TerryNotary', 'KaiPantano', 'LoganPithyou', 'StuartPollock', 'Raja', 'GarethRuck', 'RhianSheehan', 'T.J.Storm', 'JodieTaylor', 'AliciaVela-Bailey', 'RichardWhiteside', 'NikieZambo', 'JuleneRenee']","['IngeniousFilmPartners', 'TwentiethCenturyFoxFilmCorporation', 'DuneEntertainment', 'LightstormEntertainment']",2009,2787965087
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley', 'StellanSkarsgård', 'ChowYun-fat', 'BillNighy', 'GeoffreyRush', 'JackDavenport', 'KevinMcNally', 'TomHollander', 'NaomieHarris', 'JonathanPryce', 'KeithRichards', 'LeeArenberg', 'MackenzieCrook', 'GregEllis', 'DavidBailie', 'MartinKlebba', 'DavidSchofield', 'LaurenMaher', 'VanessaBranch', 'AngusBarnett', 'GilesNew', 'ReggieLee', 'DominicScottKay', 'TakayoFischer', 'DavidMeunier', 'Ho-KwanTse', 'AndyBeckwith', 'PeterDonaldBadalamentiII', 'ChristopherS.Capp', 'KeithRichards', 'HakeemKae-Kazim', 'GhassanMassoud']","['WaltDisneyPictures', 'JerryBruckheimerFilms', 'SecondMateProductions']",2007,961000000
206647,Spectre,"['Action', 'Adventure', 'Crime']","['DanielCraig', 'ChristophWaltz', 'LéaSeydoux', 'RalphFiennes', 'MonicaBellucci', 'BenWhishaw', 'NaomieHarris', 'DaveBautista', 'AndrewScott', 'RoryKinnear', 'JesperChristensen', 'AlessandroCremona', 'StephanieSigman', 'TenochHuerta', 'AdrianaPaz', 'DomenicoFortunato', 'MarcoZingaro', 'StefanoElfiDiClaudia', 'IanBonar', 'TamWilliams', 'RichardBanham', 'PipCarter', 'SimonLenagan', 'AlessandroBressanello', 'MarcZinga', 'BrigitteMillar', 'AdelBencherif', 'GediminasAdomaitis', 'PeppeLanzetta', 'FrancescoArca', 'MatteoTaranto', 'EmilioAniba', 'BenitoSagredo', 'DaiTabuchi', 'GeorgeLasha', 'SargonYelda', 'AndyCheung', 'ErickHayden', 'OlegMirochnikov', 'AntonioSalines', 'MiloudMouradBenamara', 'GidoSchimanski', 'NigelBarber', 'PatriceNaiambana', 'StephaneCornicard', 'GaryFannin', 'SadaoUeda', 'PhillipLaw', 'WaiWong', 'JosephBalderrama', 'EijiMihara', 'JunichiKajioka', 'VictorSchefé', 'HaraldWindisch', 'TristanMatthiae', 'DetlefBothe', 'BodoFriesecke', 'WilhemIben', 'NoemiKrausz', 'NoahSaavedra', 'FrancisAttakpah', 'MichaelGlantschnig', 'MarlonBoess', 'MarieWohlmuth', 'LiliEpply', 'KonstantinGerlach', 'LaraParmiani', 'UmitUlgen', 'AmraMallassi', 'ZiadAbaza', 'WalidMumuni', 'DerekHorsham', 'NariBlair-Mangat', 'MichaelWhite', 'AdamMcGrady', 'NaderDernaika', 'PezhmaanAlinia', 'JudiDench', 'NeveGachev', 'KarlFarrer', 'KimAdis', 'MaurisaSeleneColeman', 'MatijaMondiMatović']","['ColumbiaPictures', 'Danjaq', 'B24']",2015,880674609
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['ChristianBale', 'MichaelCaine', 'GaryOldman', 'AnneHathaway', 'TomHardy', 'MarionCotillard', 'JosephGordon-Levitt', 'MorganFreeman', 'CillianMurphy', 'JunoTemple', 'LiamNeeson', 'MatthewModine', 'AlonAboutboul', 'BenMendelsohn', 'NestorCarbonell', 'JoshPence', 'TomConti', 'JoeyKing', 'WarrenBrown', 'DanielSunjata', 'SamKennard', 'AliashTepina', 'NickJulian', 'MirandaNolan', 'ClaireJulien', 'AidanGillen', 'BurnGorman', 'BrettCullen', 'ReggieLee', 'JosephLyleTaylor', 'ChrisEllis', 'DuaneHenry', 'JamesHarveyWard', 'GonzaloMenendez', 'CameronJack', 'LexDaniel', 'TylerDeanFlores', 'ThomasLennon', 'TrevorWhite', 'RobBrown', 'FredricLehne', 'CourtneyMunch', 'ChrisHill', 'TravisGuba', 'JayBenedict', 'WillEstes', 'DavidDayanFisher', 'GlenPowell', 'RussFega', 'AndresPerez-Molina', 'BrentBriscoe', 'JohnNolan', 'OliverCotton', 'MarkKilleen', 'SarahGoldberg', 'JohnMacMillan', 'RobertWisdom', 'RonnieGeneBlevins', 'JohnHollingworth', 'IanBohen', 'UriGavriel', 'NoelGugliemi', 'HectorAtreyuRuiz', 'PatrickCox', 'AramisKnight', 'JoshStewart', 'WilliamDevane', 'DavidGyasi', 'PatrickJordan', 'JoshuaElijahReese', 'DesmondHarrington', 'MychaelBates', 'TomasArana', 'PeterHolden', 'DavidMonahan', 'JillianArmenante', 'AjaEvans', 'AldousDavidson', 'WadeWilliams', 'JakeCanuso', 'MassiFurlan', 'ChristopherJudge', 'PatrickLeahy', 'ToddGearhart', 'MarcAbbink', 'IsiahAdams', 'CharlieAlejandro', 'RobertArensen', 'GrantBabbitt', 'FileenaBahris', 'RickBolander', 'KylePatrickBrennan', 'ScottChurchson', 'BillCowher', 'GrahamCurry', 'StephanieDominiEhlert', 'JohnFarrer', 'FrankFata', 'ChristopherBryanGomez', 'VitoGrassi', 'MichaelWrenGucciardo', 'SamHarris', 'EdHeavey', 'JohnW.Iwanonkiw', 'CindyJackson', 'DanielJordano', 'WilliamKania', 'TiffanyKemp', 'SunJaeKim', 'HrvojeKlecz', 'AlexKruz', 'TylerLaMarr', 'LeJon', 'PaulJudeLetersky', 'JoeLipari', 'SilviaLombardo', 'JorgeMardel', 'CaleMcConnell', 'DavidDaleMcCue', 'TiffanySanderMcKenzie', 'AllenMerritt', 'OlanMontgomery', 'AlexMoore', 'ShaneNolan', 'JacksonNunn', '""JosephOBrien""', 'MichaelPapajohn', 'SalomonPassariello', 'KyleDavidPierce', 'TroyPolamalu', 'MichaelPower', 'JamesRawlings', 'KirstenRoeters', 'BenRoethlisberger', 'MarkRoman', 'AnthonyJ.Sacco', 'EricSalazar', 'EmilySchooley', 'ThomasTull', 'ChrisVaina', 'VincentvanOmmen', 'MichelleVezzani', 'BarbaraVincent', 'JustinMichaelWoods', 'JasonYee', 'MariaZambrana', 'JohnZion', 'AlexZiwak', 'TommyBayiokos', 'MatthewGooley', 'JeffMoffitt', 'MarkFalvo', 'DiogoHausen', 'GarySievers', 'OrionMcCabe', 'LondonMay', 'JamesQuinn', 'DanielNewman']","['LegendaryPictures', 'WarnerBros.', 'DCEntertainment', 'Syncopy']",2012,1084939099
49529,John Carter,"['Action', 'Adventure', 'ScienceFiction']","['TaylorKitsch', 'LynnCollins', 'SamanthaMorton', 'WillemDafoe', 'ThomasHadenChurch', 'MarkStrong', 'CiaránHinds', 'DominicWest', 'JamesPurefoy', 'BryanCranston', 'PollyWalker', 'DarylSabara', 'ArkieReece', 'DavoodGhadami', 'PippaNixon', 'JamesEmbree', 'PhilipPhilmar', 'EmilyTierney', 'EdmundKente', 'NicholasWoodeson', 'KyleAgnew', 'DonStark', 'JoshDaugherty', 'JaredCyr', 'ChristopherGoodman', 'AmandaClayton', 'JosephBillingiere']",['WaltDisneyPictures'],2012,284139100
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['TobeyMaguire', 'KirstenDunst', 'JamesFranco', 'ThomasHadenChurch', 'TopherGrace', 'BryceDallasHoward', 'RosemaryHarris', 'JamesCromwell', 'J.K.Simmons', 'TheresaRussell', 'DylanBaker', 'BillNunn', 'ElizabethBanks', 'TedRaimi', 'PerlaHaney-Jardine', 'WillemDafoe', 'CliffRobertson', 'ElyaBaskin', 'MageinaTovah', 'MichaelPapajohn', 'JoeManganiello', 'StanLee', 'BruceCampbell', 'ChristopherYoung', 'GrantCurtis', 'DanielGillies', 'JohnPaxton', 'BeckyAnnBaker', 'SteveValentine', 'HalFishman', 'LucyGordon', 'ToniWynne', 'AndreB.Blake', 'TimMaculan', 'MarcVann', 'JoeBays', 'GreggDaniel', 'RogelioT.Ramos', 'TimothyPatrickQuill', 'KathrynBryding', 'JoeVirzi', 'BillE.Rogers', 'MichaelAlexander', 'AprilParker-Jones', 'EdwardPadilla', 'RobertCurtisBrown', 'PaulTerrellClayton', 'CarolynNeff', 'ChristinaCindrich', 'SonyaMaddox', '""DerrickPhoenixThomas""', 'JessiCollins', 'MichaelMcLaughlin', 'AnneGartlan', 'EmilioRivera', 'KeithWoulard', 'ReynaldoGallegos', 'JimCoope', 'DeanEdwards', 'MargaretLaney', 'AimeeMiles', 'TanyaBond', 'MarkKubr', 'TonyBesson', 'RamonAdams', 'A.J.Adelman', 'AngelisAlexandris', 'DawnMarieAnderson', 'FrankAnello', 'AnyaAvaeva', 'DavidBackus', 'TiffanyL.Baker', 'MarcC.Cancassi', 'SujeileeCandele', 'MichaelCiesla', 'IrinaCosta', 'JohnCrann', 'CrystalMarieDenha', 'AmyV.Dewhurst', 'PaulEdney', 'NatalieFabry', 'KeithFausnaught', 'AmandaFlorian', 'BriannaLeannFlorian', 'TiffanyAshleyFlorian', 'ShaunPatrickFlynn', 'LoganFry', 'KevinFung', 'TonyGaltieri', 'ChuckGerena', 'BrianHopson', 'ClaudeJay', 'JulieJei', 'AndrewJamesJones', 'NatalieJones', 'ChristopherJude', 'BrittanyKrall', 'AlyssaLakota', 'TiaLatrell', 'LindaLee', 'PierangeliLlinas', 'BernadetteLords', 'SandrineMarlier', 'LauraMcDavid', 'NatalieMcNeil', 'DanielMignault', 'MarthaMillan', 'Michele-NanetteMiller', 'ClaudiaKatzMinnick', 'RobertMyers', '""JosephOBrien""', 'JenOda', 'AnjeliaPelay', 'NickPoltoranin', 'VanessaReseland', 'LaRivers', 'BriaRoberts', 'LuisRosa', 'VanessaRoss', 'BrennaRoth', 'ShadeRupe', 'ArickSalmea', 'EricShackelford', 'DanielShafer', 'AbbeySkinner', 'KristinSomo', 'JenniferSparks', 'ChristopherStadulis', 'JimmyStar', 'ArneStarr', 'LiamStone', 'TajnaTanovic', 'AijaTerauda', 'BrigidTurner', 'EvelynVaccaro', 'NickVlassopoulos', 'SincerelyA.Ward', 'SilqWebster', 'GraigF.Weich', 'FredrickWeiss', 'JenniferWeston', 'TrentonWilley', 'RayWineteer']","['ColumbiaPictures', 'LauraZiskinProductions', 'MarvelEnterprises']",2007,890871626
38757,Tangled,"['Animation', 'Family']","['ZacharyLevi', 'MandyMoore', 'DonnaMurphy', 'RonPerlman', 'M.C.Gainey', 'JeffreyTambor', 'BradGarrett', 'PaulF.Tompkins', 'RichardKiel', 'DelaneyRoseStein', 'NathanGreno', 'ByronHoward', 'TimMertens']","['WaltDisneyPictures', 'WaltDisneyAnimationStudios']",2010,591794936
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'ScienceFiction']","['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo', 'ChrisEvans', 'ScarlettJohansson', 'JeremyRenner', 'JamesSpader', 'SamuelL.Jackson', 'DonCheadle', 'AaronTaylor-Johnson', 'ElizabethOlsen', 'PaulBettany', 'CobieSmulders', 'AnthonyMackie', 'HayleyAtwell', 'IdrisElba', 'LindaCardellini', 'StellanSkarsgård', 'ClaudiaKim', 'ThomasKretschmann', 'AndySerkis', 'JulieDelpy', 'StanLee', 'HenryGoodman', 'ChrisLuca', 'BrianSchaeffer', 'DominiqueProvost-Chalkley', 'IsaacAndrews', 'GarethKieranJones', 'ChanWooLim', 'MinheeYeo', 'BentleyKalu', 'JulianBleach', 'ChristopherBeasley', 'VuyoDabula', 'NondumisoTembe', 'KabeloThai', 'LeleLeowaba', 'MandlaGaduka', 'HarrietManamela', 'BeulahHashe', 'MuscaKumalo', 'MathapeloSeptember', 'AntonyAcheampong', 'ChiomaAnyanwu', 'BenSakamoto', 'ImogenPoynton', 'IsabellaPoynton', 'IngvildDeila', 'SunnyYeo', 'NamjuGo', 'MinaKweon', 'EarlT.Kim', 'ArthurLee', 'VerityHewlett', 'MichaelMatovski', 'AlmaNoce', 'RiccardoRichetta', 'ConstanzaRuff', 'MontyMclaren-Clark', 'JuliaKrynke', 'TonyChristensen', 'IanKay', 'BarryAird', 'AaronHimelstein', 'KerryCondon', 'JaidenStafford', 'DilyanaBouklieva', 'JoshBrolin', 'JotiNagra', 'NickW.Nicholson', 'DanielWestwood']","['MarvelStudios', 'PrimeFocus', 'RevolutionSunStudios']",2015,1405403694
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['DanielRadcliffe', 'RupertGrint', 'EmmaWatson', 'TomFelton', 'MichaelGambon', 'JimBroadbent', 'HelenaBonhamCarter', 'RobbieColtrane', 'MaggieSmith', 'AlanRickman', 'TimothySpall', 'DavidThewlis', 'JulieWalters', 'MatthewLewis', 'EvannaLynch', 'BonnieWright', 'OliverPhelps', 'JamesPhelps', 'MarkWilliams', 'WarwickDavis', 'NataliaTena', 'KatieLeung', 'DaveLegeno', 'GeraldineSomerville', 'HelenMcCrory', 'FreddieStroma', 'DavidBradley', 'FrankDillane', 'HeroFiennes-Tiffin', 'GemmaJones', 'AfshanAzad', 'ShefaliChowdhury', 'GeorginaLeonidas', 'DevonMurray', 'AnnaShaffer', 'JoshHerdman', 'JamieWaylett', 'ScarlettByrne', 'JessieCave', 'LouisCordice', 'AlfieEnoch', 'RobertKnox', 'WilliamMelling', 'PaulRitter', 'IsabellaLaughland', 'RalphIneson', 'SuzanneToase', 'RodHunt', 'ElaricaGallacher']","['WarnerBros.', 'HeydayFilms']",2009,933959197
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['BenAffleck', 'HenryCavill', 'GalGadot', 'AmyAdams', 'JesseEisenberg', 'DianeLane', 'JeremyIrons', 'LaurenceFishburne', 'HollyHunter', 'ScootMcNairy', 'CallanMulvey', 'TaoOkamoto', 'JenaMalone', 'BrandonSpink', 'LaurenCohan', 'HughMaguire', 'MichaelCassidy', 'AlanD.Purwin', 'DanAmboyer', 'RebeccaBuller', 'HarryLennix', 'ChristinaWren', 'JadeChynoweth', 'ChadKrowchuk', 'KevinCostner', 'EzraMiller', 'PatrickWilson', 'MichaelShannon', 'CharlieRose', 'VikramGandhi', 'AndrewSullivan', 'NeildeGrasseTyson', 'JonStewart', '""SoledadOBrien""', 'ErikaR.Erickson', 'DanaBash', 'NancyGrace', 'AndersonCooper', 'BrookeBaldwin', 'CarlaGugino', 'JasonMomoa', 'JoeMorton', 'RayFisher', 'JosephCranford', 'EmilyPeterson', 'JeffreyDeanMorgan', 'SammiRotibi', 'HannaDworkin', 'TiffanyL.Addison', 'OwaisAhmed', 'AnishJethmalani', 'TiffanyBedwell', 'NataleeArteaga', 'KeithD.Gallagher', 'JeffDumas', 'MiriamLee', 'AliciaRegan', 'StephanieKoenig', 'RipleySobo', 'RichardBurden', 'JuliusTennon', 'WunmiMosaku', 'DennisNorth', 'KiffVandenHeuvel', 'MasonHeidger', 'AhneyHer', 'KristineCabanban', 'SebastianSozzi', 'KentShocknek', 'RalphLister', 'SammyA.Publes', 'JayR.Adams', 'DavidMidura', 'JayTowers', 'MichaelEllison', 'KirillOstapenko', 'RashontaeWawrzyniak', 'TomLuginbill', 'DavePasch', 'DannyMooney', 'HenryFrostIII', 'NicoleForester', 'DebbieStabenow', 'MilicaGovich', 'JohnLepard', 'SandraLoveAldridge', 'GrahamW.J.Beal', 'HenriFranklin', 'JonathanWest', 'T.J.Martinelli', 'ChrisNewman', 'LuluDahl', 'SamLoganKhaleghi', 'AnneMarieDamman', 'ConnieCraig', 'HenriettaHermelin', 'PatrickLeahy', 'AlbertValladares', 'DavidParis', 'AbigailKuklis', 'GregVioland', 'TirenJhames', 'SteveJasgur', 'JonathanStanley', 'JesseNagy', 'DuvaleMurchison', 'ThomasJ.Fentress', 'CoburnGoss', 'JeffHanlin', 'GaryA.Hecker', 'RobinAtkinDownes', 'IssacRyanBrown', 'BartonBund', 'BaileyChase', '""PatrickOConnorCronin""', 'SonjaCrosby', 'C.T.Fletcher', 'AhmanGreen', 'DianaGaitirira', 'JaleneMack', 'EsodieGeiger', 'NeneNwoko', 'ScottEdwardLogan', 'MarcusGoddard', 'CruzGonzalez-Cadel', 'AlmaMartinez', 'SalLopez', 'MarcelShihadeh', 'TheoBonganiNdyalvane', 'SatoriShakoor', 'EleBardha', 'InderKumar', 'BrandonBautista', 'LauraAtwood', 'DebbieScaletta', 'DavidLeach', 'GordonMichaels', 'BrianBoland', 'TarasLos', 'JasonHughley', 'SidiHenderson', 'MeighanGerachis', 'NicoleSantini', 'AxelHarney', 'WayneE.Brown', 'DanteBriggins', 'ShannonGarnett', 'LynchR.Travis', 'CarmenGangale', 'JoeCipriano', 'WillBlagrove', 'MarceloBem']","['DCComics', 'AtlasEntertainment', 'WarnerBros.', 'DCEntertainment', 'Cruel&UnusualFilms', 'RatPac-DuneEntertainment']",2016,873260194
